X,Y,Clase
681,559,
759,554,
1116,45,Aislada
848,484,
1168,84,Borde
618,646,
1284,45,Interior
1159,477,Borde
1186,164,Borde
959,371,Borde
737,462,
152,799,
1258,76,Borde
354,625,
1167,302,Interior
686,405,
888,546,
141,894,
1236,346,Borde
522,642,
738,343,
934,463,Interior
951,373,Borde
501,659,
1145,498,Interior
748,460,
1269,154,Borde
1190,107,Interior
404,614,
806,407,
1275,151,Borde
506,733,
781,455,
1063,369,Interior
915,295,
749,543,
1248,356,Borde
856,288,
800,327,
903,296,
389,571,
1033,423,Borde
1141,491,Interior
792,546,
1179,96,Interior
812,414,
131,840,
769,554,
651,632,
936,375,Borde
428,577,
191,891,
334,685,
907,539,
145,907,
1262,89,Borde
548,633,
842,501,
1136,493,Borde
862,482,
987,434,Borde
740,439,
427,724,
870,503,
990,376,Aislada
366,668,
1036,510,
562,645,
421,696,
971,228,Borde
847,540,
717,533,
731,477,
985,505,
324,783,
905,259,
1119,323,Borde
475,602,
184,929,
1067,448,Borde
488,743,
1046,529,
911,286,
672,402,
190,810,
1108,281,Interior
762,467,
1049,507,
957,454,Borde
1100,263,Borde
725,599,
1038,339,Borde
821,412,
77,1023,
1020,335,Borde
461,561,
1143,482,Borde
139,799,
992,284,Borde
942,529,
1012,250,Borde
932,234,Interior
529,636,
364,639,
801,484,
845,270,
803,385,
1029,288,Interior
719,598,
758,330,
1217,364,Borde
903,310,
356,693,
218,761,
392,693,
610,599,
275,712,
230,836,
1012,260,Interior
472,585,
839,275,
854,275,
685,486,
181,818,
845,530,
843,292,
1141,248,Borde
1120,265,Interior
274,817,
1003,368,Interior
337,762,
475,633,
1051,266,Borde
719,604,
793,337,
870,520,
1109,266,Interior
1090,389,Interior
164,885,
1179,311,Borde
874,355,
259,726,
1227,306,Aislada
985,454,Interior
1070,348,Interior
1282,145,Borde
409,663,
584,619,
930,243,Interior
243,838,
1211,437,Interior
184,740,
683,475,
947,230,Interior
214,832,
254,822,
952,247,Borde
653,580,
432,666,
683,616,
1004,280,Borde
119,790,
763,321,
407,677,
1198,224,Borde
1054,383,Borde
292,709,
271,804,
1240,172,Borde
1140,450,Borde
1037,249,Borde
417,670,
197,712,
418,677,
1085,356,
260,805,
